pub-uid	pub-full	abstract	key-au	key-pub
10.1093_infdis_jix391	Using Patient Pathway Analysis to Design Patient-centered Referral Networks for Diagnosis and Treatment of Tuberculosis: The Case of the Philippines	Background. Tuberculosis (TB) is the 8th leading cause of death in the Philippines. A recent prevalence survey found that there were nearly 70% more cases of tuberculosis than previously estimated. Given these new data, the National TB Program (NTP), operating through a decentralized health system, identified about 58% of the estimated new drug-sensitive (DS) TB patients in 2016. However, the NTP only identified and commenced treatment for around 17% of estimated new drug-resistant patients. In order to reach the remaining 42% of drug-sensitive patients and 83% of drug-resistant patients, it is necessary to develop a better understanding of where patients seek care. Methods. National and regional patient pathway analyses (PPAs) were undertaken using existing national survey and NTP data. The PPA assessed the alignment between patient care seeking and the availability of TB diagnostic and treatment services. Results. Systemic referral networks from the community-level Barangay Health Stations (BHSs) to diagnostic facilities have enabled more efficient detection of drug-sensitive tuberculosis in the public sector. Approximately 36% of patients initiated care in the private sector, where there is limited coverage of appropriate diagnostic technologies. Important differences in the alignment between care seeking patterns and diagnostic and treatment availability were found between regions. Conclusions. The PPA identified opportunities for strengthening access to care for all forms of tuberculosis and for accelerating the time to diagnosis by aligning services to where patients initiate care. Geographic variations in care seeking may guide prioritization of some regions for intensified engagement with the private sector.	tuberculosis; patient pathway analysis; MDR-TB; care seeking; diagnosis	
10.1016_j.rmed.2017.08.002	Treatment outcomes of rifampin-sparing treatment in patients with pulmonary tuberculosis with rifampin-mono-resistance or rifampin adverse events: A retrospective cohort analysis	Background: Rifampin (RIF) mono-resistant tuberculosis (RMR-TB) is a rare disease. Current guidelines recommend that RMR-TB be treated as multidrug-resistant TB (MDR-TB) but the evidence is scarce. Methods: We conducted a retrospective cohort study on pulmonary TB patients to investigate the characteristics and outcomes of RMR-TB. The characteristics of RMR-TB were compared with those with adverse events to rifampin (RAE-TB). Results: Forty-four RMR-TB and 29 RAE-TB patients were enrolled. RMR-TB patients showed more alcohol use, prior history of TB, and radiologically severe disease, while RAE-TB patients were older and had more comorbidities and combined extrapulmonary TB. A fluoroquinolone (FQ) was the drug most commonly added (70.5%, RMR-TB; 82.8%, RAE-TB). Median treatment duration was 453 days in RMR-TB and 371 days in RAE-TB (p = 0.001) and treatment success rates were 87.2% (34/39) and 80.0% (20/25), respectively (p = 0.586). Subanalysis of the RMR-TB group by treatment regimen (standard regimen [n = 11], standard regimen FQ En = 12], MDR-TB regimen [n = 21]) revealed a higher rate of radio logically severe disease in the MDR-TB subgroup, with similar treatment success rates for the subgroups (85.7% [6/7]), 91.7% [11/12], and 85.0% [17/20], respectively) despite different durations of treatment (345, 405, and 528 days, respectively). Two recurrences (33.3% [2/61) developed only in standard regimen subgroup, suggesting that standard regimen is not enough to treat RMR-TB patients. Conclusions: The treatment outcome of RMR-TB with 1st-line drugs + FQwas comparable to that of MDR-TB regimen. Shorter treatment duration may be considered for RMR-TB patients compared with MDR-TB patients. (C) 2017 Published by Elsevier Ltd.	Rifampin-mono-resistance; Treatment outcomes; Tuberculosis	MYCOBACTERIUM-TUBERCULOSIS; MONORESISTANT TUBERCULOSIS; DRUG-RESISTANCE; SOUTH-AFRICA; RISK-FACTORS; REGIMEN; CAPE
10.1017_S0950268817001911	Predicting treatment failure, death and drug resistance using a computed risk score among newly diagnosed TB patients in Tamaulipas, Mexico	The purpose of this study was to develop a method for identifying newly diagnosed tuberculosis (TB) patients at risk for TB adverse events in Tamaulipas, Mexico. Surveillance data between 2006 and 2013 (8431 subjects) was used to develop risk scores based on predictive modelling. The final models revealed that TB patients failing their treatment regimen were more likely to have at most a primary school education, multi-drug resistance (MDR)-TB, and few to moderate bacilli on acid-fast bacilli smear. TB patients who died were more likely to be older males with MDR-TB, HIV, malnutrition, and reporting excessive alcohol use. Modified risk scores were developed with strong predictability for treatment failure and death (c-statistic 0.65 and 0.70, respectively), and moderate predictability for drug resistance (c-statistic 0.57). Among TB patients with diabetes, risk scores showed moderate predictability for death (c-statistic 0.68). Our findings suggest that in the clinical setting, the use of our risk scores for TB treatment failure or death will help identify these individuals for tailored management to prevent these adverse events. In contrast, the available variables in the TB surveillance dataset are not robust predictors of drug resistance, indicating the need for prompt testing at time of diagnosis.	Public health; risk assessment; treatment outcomes in TB; tuberculosis (TB)	TYPE-2 DIABETES-MELLITUS; TREATMENT OUTCOMES; PULMONARY TUBERCULOSIS; ACTIVE TUBERCULOSIS; IMPACT; MALNUTRITION; PREVALENCE; CARE; INDIA
10.1093_heapol_czx041	Are scientific research outputs aligned with national policy makers' priorities? A case study of tuberculosis in Cambodia	With funding for tuberculosis (TB) research decreasing, and the high global disease burden persisting, there are calls for increased investment in TB research. However, justification of such investments is questionable, when translation of research outputs into policy and health care improvements remains a challenge for TB and other diseases. Using TB in Cambodia as a case study, we investigate how evidence needs of national policy makers are addressed by topics covered in research publications. We first conducted a systematic review to compile all studies on TB in Cambodia published since 2000. We then identified priority areas in which evidence for policy and programme planning are required from the perspective of key national TB control stakeholders. Finally, results from the literature review were analysed in relation to the priority research areas for national policy makers to assess overlap and highlight gaps in evidence. Priority research areas were: TB-HIV co-infection; childhood TB; multidrug resistant TB (MDR-TB); and universal and equitable access to quality diagnosis and treatment. On screening 1687 unique papers retrieved from our literature search, 253 were eligible publications focusing on TB in Cambodia. Of these, only 73 (29%) addressed one of the four priority research areas. Overall, 30 (11%), five (2%), seven (2%) and 37 (14%) studies reported findings relevant to TB-HIV, childhood TB, MDR-TB and access to quality diagnosis and treatment respectively. Our analysis shows that a small proportion of the research outputs in Cambodia address priority areas for informing policy and programme planning. This case study illustrates that there is substantial room for improvement in alignment between research outputs and evidence gaps that national policy makers would like to see addressed; better coordination between researchers, funders and policy makers' on identifying priority research topics may increase the relevance of research findings to health policies and programmes.	Tuberculosis; policy; systematic review; Cambodia	HIV-INFECTED PATIENTS; DRUG-RESISTANT TUBERCULOSIS; HIGH-BURDEN COUNTRIES; PHNOM-PENH; XPERT(R) MTB/RIF; PULMONARY TUBERCULOSIS; ACTIVE TUBERCULOSIS; DIAGNOSIS; PROGRAM; THERAPY
10.1093_heapol_czx093	Preventing emergence of drug resistant tuberculosis in Myanmar's transitioning health system	Multidrug-resistant tuberculosis (MDR-TB) is a particular threat to the populations of resource-limited countries. Although inadequate treatment of TB has been identified as a major underlying cause of drug resistance, essential information to inform changes in health service delivery and policy is missing. We investigate factors that may be driving the emergence of MDR-TB in Myanmar, a country where investment and health system reforms are ongoing to address the unexplained, high occurrence of MDR-TB. We conducted a multi-centre, retrospective case-control study in 10 townships across Yangon. Cases were 202 GeneXpert-confirmed MDR-TB patients with a history of prior first-line treatment for TB. Controls were 404 previously untreated smear-microscopy confirmed TB patients who had no evidence of resistance to anti-TB drugs. Information on patient and health service factors was collected through face-to-face patient interviews and hospital record reviews. Multivariable logistic regression analysis indicated that the following TB patient groups are at higher risk of developing MDR-TB after initial TB treatment: those who have diabetes (aOR 2.10; 95% CI 1.17-3.76), those who missed taking drugs during the initial treatment more than once weekly (aOR 2.35; 95% CI 1.18-4.65) and those with a higher socioeconomic (aOR 1.99; 95% CI 1.09-3.63) or educational status (aOR 1.78; 95% CI1.01-3.13). Coinciding with a surge in funding to improve health in Myanmar, this study identifies practices of patients and healthcare organizations that can be addressed, and high-risk TB patient groups that can be prioritized for treatment support. Specifically, the study shows that TB patients who experience frequent, short interruptions in treatment and those with diabetes may require enhanced treatment support and monitoring by health services in order to prevent further generation of drug resistance.	Epidemiology; health system; health services; determinants; evidence-based policy	RISK-FACTORS; MYCOBACTERIUM-TUBERCULOSIS; PULMONARY TUBERCULOSIS; POPULATION; PREVALENCE; REGION; CARE
10.1111_tmi.12934	Feasibility of a new model for early detection of patients with multidrug-resistant tuberculosis in a developed setting of eastern China	OBJECTIVES The poor detection rate of multidrug-resistant tuberculosis (MDR-TB) highlights the urgent need to explore new case finding model to improve the detection of MDR-TB in China. The aim of this study was to evaluate the feasibility of a new model that combines molecular diagnostics and sputum transportation for early detection of patients with MDR-TB in Zhejiang. METHODS From May 2014 to January 2015, TB suspects were continuously enrolled at six county-level designated TB hospitals in Zhejiang. Each patient gave three sputum samples, which were submitted to laboratory for smear microscopy, solid culture and GeneXpert. The specimens from rifampin (RIF)-resistant cases detected by GeneXpert, and positive cultures were transported from county-level to prefecture-level laboratories for line probe analysis (LPA) and drug susceptibility testing (DST). The performance and interval of MDR-TB detection of the new model were compared with those of conventional model. RESULTS A total of 3151 sputum specimens were collected from TB suspects. The sensitivity of GeneXpert for detecting culture-positive cases was 92.7% (405/437), and its specificity was 91.3% (2428/2659). Of 16 RIF-resistant cases detected by DST, GeneXpert could correctly identify 15 cases, yielding a sensitivity of 93.8% (15/16). The specificity of GeneXpert for detecting RIF susceptibility was 100.0% (383/383). The average interval to diagnosis of the conventional DST model was 56.5 days, ranging from 43 to 71 days, which was significantly longer than that of GeneXpert plus LPA (22.2 days, P < 0.01). CONCLUSION Our data demonstrate that the combination of improved molecular TB tests and sputum transportation could significantly shorten the time required for detection of MDR-TB, which will bring benefits for preventing an epidemic of MDR-TB in this high-prevalence setting.	tuberculosis; multidrug resistance; feasibility; detection	PULMONARY TUBERCULOSIS; MYCOBACTERIUM-TUBERCULOSIS; MULTICENTER EVALUATION; NATIONAL-SURVEY; DIAGNOSIS
10.1016_j.diagmicrobio.2017.06.018	Direct detection of Mycobacterium tuberculosis and drug resistance in respiratory specimen using Abbott Realtime MTB detection and RIF/INH resistance assay	"Abbott RealTime MTB (Abbott-RT) in conjunction with Abbott RealTime MTB RIF/INH Resistance (Abbott-RIF/ [NH) is a new, high-throughput automated nucleic acid amplification platform (Abbott-MDR) for detection of Mycobacterium tuberculosis complex (MTBC) and the genotypic markers for rifampicin (RIF) and isoniazid (INH) resistance directly from respiratory specimens. This prospective study evaluated the diagnostic performance of this new platform for MTBC and multidrug-resistant tuberculosis (MDR-TB) using 610 sputum specimens in a tuberculosis high-burden setting. Using conventional culture results and clinical background as reference standards, Abbott-RT exhibited an overall sensitivity and specificity of 95.2% and 99.8%, respectively. Genotypic RIF/INH resistance of 178 ""MTB detected"" specimens was subsequently analyzed by Abbott-RIF/ INH. Compared to phenotypic drug susceptibility test results, Abbott-RIF/INH detected resistance genotypic markers in 84.6% MDR-TB, 80% mono-RIF-resistant and 66.7% mono-INH-resistant specimens. Two of the RIF-resistant specimens carried a novel single, nonsense mutation at rpoB Q513 and in silico simulation demonstrated that the truncated RpoB protein failed to bind with other subunits for transcription. Overall, Abbott-MDR platform provided high throughput and reliable diagnosis of MDR-TB within a TB high-burden region. (C) 2017 Elsevier Inc. All rights reserved."	Mycobacteriology; Mycobacterium tuberculosis; Direct detection; Respiratory specimen; Multidrug-resistant tuberculosis	LEVEL ISONIAZID RESISTANCE; COMPENSATORY MUTATIONS; CLINICAL-PERFORMANCE; PULMONARY SPECIMENS; RNA-POLYMERASE; COMPLEX; DNA; IDENTIFICATION; RIFAMPICIN; KATG
10.1016_j.ijid.2017.06.010	High diversity of multidrug-resistant Mycobacterium tuberculosis Central Asian Strain isolates in Nepal	Objectives: Tuberculosis (TB) caused by Mycobacterium tuberculosis (MTB) poses a major public health problem in Nepal. Although it has been reported as one of the dominant genotypes of MTB in Nepal, little information on the Central Asian Strain (CAS) family is available, especially isolates related to multidrug resistance (MDR) cases. This study aimed to elucidate the genetic and epidemiological characteristics of MDR CAS isolates in Nepal. Methods: A total of 145 MDR CAS isolates collected in Nepal from 2008 to 2013 were characterized by spoligotyping, mycobacterial interspersed repetitive unit-variable number tandem repeat (MIRU-VNTR) analysis, and drug resistance-associated gene sequencing. Results: Spoligotyping analysis showed CAS1_Delhi SIT26 as predominant (60/145, 41.4%). However, by combining spoligotyping and MIRU-VNTR typing, it was possible to successfully discriminate all 145 isolates into 116 different types including 18 clusters with 47 isolates (clustering rate 32.4%). About a half of these clustered isolates shared the same genetic and geographical characteristics with other isolates in each cluster, and some of them shared rare point mutations in rpoB that are thought to be associated with rifampicin resistance. Conclusions: Although the data obtained show little evidence that large outbreaks of MDR-TB caused by the CAS family have occurred in Nepal, they strongly suggest several MDR-MTB transmission cases. (C) 2017 The Author(s). Published by Elsevier Ltd on behalf of International Society for Infectious Diseases.	Mycobacterium tuberculosis; Multidrug-resistant TB; CAS family; MIRU-VNTR; Nepal	MOLECULAR EPIDEMIOLOGY; GENETIC DIVERSITY; PULMONARY TUBERCULOSIS; RECENT TRANSMISSION; INDIA; MUTATIONS; PAKISTAN
10.1016_j.ijid.2017.07.025	Drug adherence and efficacy of smear microscopy in the diagnosis of pulmonary tuberculosis after 2 months of medication in North-western Tanzania	Objectives: The study aimed at assessing the Tuberculosis (TB) medication adherence level and the efficacy of smear microscopy in the diagnosing pulmonary TB at month 2. Methods: A prospective study was conducted at the four sites located in the Northern-western Tanzania. New smear positive, pulmonary TB patients were followed up and their adherence to TB medication assessed after 2 months of the treatment. In addition, the acid fast bacilli (AFB) smear microscopy was performed after 2 and 5 months of the treatment. All smear positive samples were subjected to geneXpert (MTB/RIF) assay and culture on the Lowenstein Jensen (LJ) media. Results: A total of 331 smear positive, newly diagnosed patients with pulmonary TB were enrolled. The median age was 36 [Interquartile range (IQR): 28-45] years and males formed the slightly majority, 187 (56.5%) of the participants. A total of 105 (31.7%) patients were infected with HIV. Out of 331 patients, 36 (10.9%) were still AFB smear positive at the end of two month. Of these 19 (52.8%) were positive on GeneXpert MTB RIF and none was Rifampicin resistant. Of note, only 13 (31.1%) were culture positive (viable). None of the patients was positive at month 5. Poor adherence to TB medications in the first 2 months of treatment was observed in 56/331 (16.9%) [95% CI = 12.9-21.0] of the patients. Conclusion: Over two thirds of smear positive patients are wrongly put in one month extension of the intensive phase treatment; this may cause increased costs and drug toxicity. Culture should be advocated to confirm smear positivity after 2 months of medications. TB treatment drug adherence in our setting is good and is associated with successful cure. No multidrug resistant tuberculosis (MDR-TB) was observed. Continued surveillance and emphasizing of TB drug adherence should be kept upbeat in order to control tuberculosis in developing countries. (C) 2017 The Author(s). Published by Elsevier Ltd on behalf of International Society for Infectious Diseases.	Drug adherence; Medication adherence; Smear microscope; Pulmonary tuberculosis; Culture; MDR-TB; Mwanza; Tanzania	
10.5588_ijtld.16.0939	Drug resistance patterns among extra-pulmonary tuberculosis cases in a tertiary care centre in North India	BACKGROUND: Extra-pulmonary tuberculosis (EPTB) is a growing public health concern, and data on drug resistance are limited. MATERIAL AND METHODS: Specimens from 2468 clinically diagnosed EPTB patients received at the Intermediate Reference Laboratory (IRL) of a tertiary centre in India were subjected to Ziehl-Neelsen staining, Xpert (R) MTB/RIF testing, liquid culture and drug susceptibility testing (DST) using automated BACTEC MGIT (TM) 960 (TM). Line-probe assay (LPA) was performed on all culture-positive isolates. Gene sequencing was performed on rifampicin-resistant/multidrug-resistant TB (RR/MDR-TB) and phenotypic/genotypic discrepant isolates. RESULTS: The culture positivity rate was 18.9% (483/2553). The sensitivity and specificity of Xpert in diagnosing EPTB were respectively 70.8% (95%CI 66.5-74.8) and 97.7% (95 %CI 96.9-98.3), with liquid culture as the reference standard. Prevalence of RR/MDR-TB was 10.1% (49/483). Prevalence of pre-extensively drug-resistant TB (pre-XDR-TB) was 18.4% (09/49), whereas the prevalence of XDR-TB among MDR-TB patients was 2% (01/49). The sensitivity of genotypic DST for the detection of rifampicin resistance was 92.7% (95%CI 81.1-98.5) and specificity was 99.3% (95%CI 97.5-99.9), with 100% concordance between Xpert and LPA. CONCLUSION: The burden of drug resistance, including M/XDR-TB, among EPTB patients is high. Novel molecular tests can help in early diagnosis and treatment to prevent disease progression and amplification of resistance.	EPTB; multidrug-resistant tuberculosis; extensively drug-resistant tuberculosis; Xpert (R) MTB/RIF; drug susceptibility testing	MYCOBACTERIUM-TUBERCULOSIS; EXTRAPULMONARY TUBERCULOSIS; XPERT MTB/RIF; RIFAMPIN RESISTANCE; RPOB MUTATIONS; SUSCEPTIBILITY; PERFORMANCE; STRAINS; DIAGNOSIS; DNA
10.1186_s12879_017_2746_5	Predictors of unsuccessful interim treatment outcomes of multidrug resistant tuberculosis patients	Background: Interim treatment outcomes at 6-months for multidrug-resistant tuberculosis (MDR-TB) treatment are among the most basic performance monitoring and key evaluation indicators in the Stop and End TB strategy of the World Health Organization (WHO). Therefore, this study was conducted to evaluate the interim treatment outcomes of MDR-TB patients in Pakistan. Methods: This study was conducted at the Programmatic Management Unit for Drug-resistance TB (PMDT) site of the National Tuberculosis Program (NTP), Pakistan. It is located in the Chest Disease Unit (CDU) of the Bahawal Victoria Hospital (BVH), Bahawalpur, Punjab, Pakistan. Data was collected between April 1, 2014 and December 31, 2015. The medical records, Electronic Nominal Recording Reporting System (ENRS) data and MRD-TB notification forms of the MDR-TB patients registered at the PMDT site were reviewed to obtain data. For reporting and calculation of interim treatment outcomes, standardized WHO methodology was adopted. Simple logistic regression analysis was used to examine the possible association between the dependent variable (i.e. unsuccessful interim treatment outcome) and selected socio-demographic and clinical variables. Results: A total of 100 drug-resistant TB (DR-TB) patients (all types) were registered during the study period. Out of these, 80 were MDR-TB patients for whom interim results were available. Out of the 80 MDR-TB cases, 48 (60%) were classified under the successful interim treatment outcome category. The remaining 40% had unsuccessful 6-month treatment outcomes and 12 (15%) patients died, while nine (11.3%) were lost to follow-up by six months. The final predictors of unsuccessful interim treatment outcomes were; being resistant to ofloxacin (AOR 3.23, 95% CI 0.96-10. 89; p-value = 0.04), having above normal baseline serum creatinine levels (AOR 6.49, 95% CI 1.39-30.27; p-value = 0.02), and being culture positive at the second month of treatment (AOR 6.94, 95% CI 2-24.12; p-value = 0.01). Conclusions: Despite free treatment and programmatic efforts to ensure patient adherence, the high rate of unsuccessful interim treatment outcomes is concerning. The identified risk factors for unsuccessful interim treatment outcomes in the current study provides clinicians an opportunity to identify high-risk patients and ensure enhanced clinical management and greater treatment success rates.		PULMONARY TUBERCULOSIS; DRUG-RESISTANCE; CULTURE CONVERSION; RISK-FACTORS; PAKISTAN; 1ST; AMINOGLYCOSIDES; METAANALYSIS
10.1016_j.ejmech.2017.05.057	Azide-alkyne cycloaddition towards 1H-1,2,3-triazole-tethered gatifloxacin and isatin conjugates: Design, synthesis and in vitro anti-mycobacterial evaluation	Twelve novel 1H-1,2,3-triazole-tethered gatifloxacin (GTFX) isatin conjugates 5a-I with greater lipophilicity compared with GTFX were designed, synthesized and evaluated for their in vitro antimycobacterial activities against M. tuberculosis (MTB) H(37)Rv and MDR-TB as well as cytotoxicity. The preliminary results showed that all the targets (MIC: 0.10-8 mu g/mL) exhibited excellent inhibitory activity against MTB H37Rv and MDR-TB, but eight of them (CC50: 7.8-62.5 gimp were much more toxic than the parent GTFX (CC50: 125,agimL). Among them, 5g (MIC: 0.10 mu g/mL) was 4-8 times more potent in vitro than the references GTFX (MIC: 0.78 mu g/mL) and RIF (MIC: 0.39 mu g/mL) against MTB H37Rv, but less active than INH (MIC: 0.05, mu g/mL). The most potent 5g and 5h (MIC: 0.25 mu g/mL) were 4->512 times more active than the three references (MIC: 1.0->128 mu g/mL) against MDR-TB. Unfortunately, both of the two hybrids (CC50: 7.8 mu g/mL) were much more cytotoxic than the other derivatives, need to be further optimized. (C) 2017 Elsevier Masson SAS. All rights reserved.	Gatifloxacin; Isatin; Triazole; Conjugates; Anti-tuberculosis activity; Anti-mycobacterial activity; Structure-activity relationship	ANTI-TUBERCULAR ACTIVITY; MYCOBACTERIUM-TUBERCULOSIS; DERIVATIVES; AGENTS
10.1371_journal.pone.0184510	Whole-genome sequencing illuminates the evolution and spread of multidrug-resistant tuberculosis in Southwest Nigeria	Nigeria has an emerging problem with multidrug-resistant tuberculosis (MDR-TB). Whole-genome sequencing was used to understand the epidemiology of tuberculosis and genetics of multi-drug resistance among patients from two tertiary referral centers in Southwest Nigeria. In line with previous molecular epidemiology studies, most isolates of Mycobacterium tuberculosis from this dataset belonged to the Cameroon clade within the Euro-American lineage. Phylogenetic analysis showed this clade was undergoing clonal expansion in this region, and suggests that it was involved in community transmission of sensitive and multidrug-resistant tuberculosis. Five patients enrolled for retreatment were infected with pre-extensively drug resistant (pre-XDR) due to fluoroquinolone resistance in isolates from the Cameroon clade. In all five cases resistance was conferred through a mutation in the gyrA gene. In some patients, genomic changes occurred in bacterial isolates during the course of treatment that potentially led to decreased drug susceptibility. We conclude that inter-patient transmission of resistant isolates, principally from the Cameroon clade, contributes to the spread of MDR-TB in this setting, underscoring the urgent need to curb the spread of multidrug resistance in this region.		MYCOBACTERIUM-TUBERCULOSIS; MOLECULAR EPIDEMIOLOGY; TRANSMISSION; DIVERSITY; CAMEROON; COMPLEX; WORLD; TOOL
10.3389_fmicb.2017.01768	Rifabutin Resistance Associated with Double Mutations in rpoB Gene in Mycobacterium tuberculosis Isolates	The objective of this study was to investigate the cross-resistance between rifampin (RIF) and rifabutin (RFB) among clinical Mycobacterium tuberculosis (MTB) isolates, and the correlations between specific rpoB mutations and the minimum inhibitory concentrations (MICs) of RIF and RFB. A total of 256 RIF-resistant isolates were included from the National Tuberculosis Clinical Laboratory in China. The MICs of MTB isolates against RIF and RFB were determined by using a microplate alamarBlue assay. In addition, all the MTB isolates were sequenced for mutations in rpoB gene. 204 out of 256 isolates (79.7%) were resistant to RFB, whereas 52 (20.3%) were susceptible to RFB. RIF-resistant/INH-susceptible (RR) group had a significant lower proportion of RFB-resistance than MDR-(P = 0.04) and XDR-TB group (P < 0.01). DNA sequencing revealed that there were 218 isolates (85.2%) with a single mutation, 26 (10.1%) with double mutations, and 12 (4.7%) without mutation in rpoB gene. Notably, although the single substitution of Leu511Pro, Asp516Gly, and His526Asn did not result in RFB resistance, 77.8% (7/9) of the MTB isolates with these double mutations became resistant to RFB. Compared with RR group (38.9%, 7/18), MDR-TB (63.5%, 106/167) had significantly higher proportion of isolates with mutations in codon 531 of rpoB gene (P = 0.04). Our data demonstrate that various rpoB mutations are associated with differential resistance to RIF and RFB. A single specific mutation in codons 511, 516, 526, and 533 was linked to the susceptibility to RFB for MTB, while the strains with these double mutations irrelevantly conferring RFB resistance produced RFB-resistant phenotype.	tuberculosis; rifabutin; rpoB; double mutations; rifampicin	RIFAMPIN RESISTANCE; MULTIDRUG-RESISTANT; PULMONARY TUBERCULOSIS; RNA-POLYMERASE; BETA-SUBUNIT; RAPID DETECTION; STRAINS; RIFAMYCINS; EFFICACY; COMPLEX
10.4103_0366_6999.213413	Multidrug-resistant Tuberculosis Burden among the New Tuberculosis Patients in Zhejiang Province: An Observational Study, 2009-2013	Background: Screening on multidrug-resistant tuberculosis (MDR-TB) has been limited to the serious TB subpopulations excluding the new TB patients. This study aimed to examine MDR-TB burden among the new TB patients. Methods: We conducted a study in Zhejiang Province during 2009-2013 to screen for MDR-TB patients among the low MDR-TB risk patients and five subpopulations of high MDR-TB risk patients. The number, prevalence, and trend of MDR-TB were compared while the logistic regression model was used to examine risk factors related to MDR-TB. Results: A total of 200 and 791 MDR-TB cases were, respectively, identified from the 9830 new TB cases and 2372 high-risk suspects who took MDR-TB screening from 2009 to 2013. The MDR-TB rates went down in both of the new TB patients and five MDR-TB high-risk groups over the study time, but the percentage of MDR-TB patients identified from the new TB patients in all diagnosed MDR-TB cases kept stable from 28.3% in 2011 to 27.0% in 2012 to 26.0% in 2013. Conclusions: The study indicated that MDR-TB burden among new TB patients was high, thus screening for MDR-TB among the new TB patients should be recommended in China as well as in the similar situation worldwide.	Drug Resistance; Multidrug-resistant Tuberculosis Screening; Tuberculosis	CHINA
10.1128_AAC.02586_16	Adverse Effects and Choice between the Injectable Agents Amikacin and Capreomycin in Multidrug-Resistant Tuberculosis	The prolonged use of injectable agents in a regimen for the treatment of multidrug-resistant tuberculosis (MDR-TB) is recommended by the World Health Organization, despite its association with ototoxicity and nephrotoxicity. We undertook this study to look at the relative adverse effects of capreomycin and amikacin. We reviewed the case notes of 100 consecutive patients treated at four MDR-TB treatment centers in the United Kingdom. The median total duration of treatment with an injectable agent was 178 days (interquartile range [IQR], 109 to 192 days; n = 73) for those with MDR-TB, 179 days (IQR, 104 to 192 days; n = 12) for those with MDR-TB plus fluoroquinolone resistance, and 558 days (IQR, 324 to 735 days; n = 8) for those with extensively drug-resistant tuberculosis (XDR-TB). Injectable use was longer for those started with capreomycin (183 days; IQR, 123 to 197 days) than those started with amikacin (119 days; IQR, 83 to 177 days) (P = 0.002). Excluding patients with XDR-TB, 51 of 85 (60%) patients were treated with an injectable for over 6 months and 12 of 85 (14%) were treated with an injectable for over 8 months. Forty percent of all patients discontinued the injectable due to hearing loss. Fifty-five percent of patients experienced ototoxicity, which was 5 times (hazard ratio [HR], 5.2; 95% confidence interval [CI], 1.2 to 22.6; P = 0.03) more likely to occur in those started on amikacin than in those treated with capreomycin only. Amikacin was associated with less hypokalemia than capreomycin (odds ratio, 0.28; 95% CI, 0.11 to 0.72), with 5 of 37 (14%) patients stopping capreomycin due to recurrent electrolyte loss. There was no difference in the number of patients experiencing a rise in the creatinine level of >1.5 times the baseline level. Hearing loss is frequent in this cohort, though its incidence is significantly lower in those starting capreomycin, which should be given greater consideration as a first-line agent.	antibiotic resistance; antimicrobial safety; tuberculosis	INDUCED HEARING-LOSS; OTOTOXICITY; KANAMYCIN; EFFICACY; TB
10.7705_biomedica.v34i2.3437	Diagnostic accuracy of three technologies for the diagnosis of multi-drug resistant tuberculosis	Introduction: Multi-drug resistant (MDR-TB) and extensively drug-resistant (XDR-TB) tuberculoses are a global public health problem. Their timely detection might reduce the burden of the disease and the economic impact on health systems worldwide. Objective: To conduct a literature review of the diagnostic accuracy of three molecular tests to detect multi-drug resistant and extensively drug-resistant tuberculoses. Materials and methods: A systematic literature review following Cochrane methodology was carried out to study the diagnostic accuracy of three molecular tests to detect MDR-TB and XDR-TB in previous studies among immunocompetent population. Articles indexed in Medline and Embase were reviewed starting in 2007. Diagnostic accuracy was reported by sensitivity, specificity, and positive and negative predictive values of each test. Results: In total, 8, 12 and 13 studies were included to assess the diagnostic accuracy of GeneXpert MTB/RIF (R), GenoType MTBDRplus (R) and GenoType MTBDRsl (R), respectively. The specificity of GeneXpert MTB/RIF (R) ranged between 91 and 100%, and its sensitivity between 33.3 and 100%. The sensitivity of GenoType (R) MTBDRplus (R) ranged between 88 and 100%. The sensitivity and specificity of GenoType MTBDRsl (R) to evaluate drug resistance ranged between 56 and 100% and 21 and 100%, respectively. Conclusion: The three diagnostic tests evaluated have shown an adequate diagnostic accuracy to detect MDR and XDR tuberculoses.	Tuberculosis; extensively drug-resistant tuberculosis; tuberculosis; multidrug-resistant; sensitivity and specificity; review	GENOTYPE(R) MTBDRPLUS ASSAY; XPERT MTB/RIF ASSAY; LINE PROBE ASSAY; 2ND-LINE ANTITUBERCULOSIS DRUGS; MYCOBACTERIUM-TUBERCULOSIS; MTBDRSL ASSAY; RIFAMPIN RESISTANCE; CLINICAL SPECIMENS; GENEXPERT MTB/RIF; ETHAMBUTOL RESISTANCE
